"datatype","isEnabled","isRequired","name","label","instanceType","uuid:ID","id"
"text","True","True","DSDECOD","DSDECOD","BiomedicalConceptProperty","6d6c5991-8f11-4ab8-9a61-c5471cc43cba","BiomedicalConceptProperty_116"
"text","True","True","DSTERM","DSTERM","BiomedicalConceptProperty","3fafb3fa-6069-4494-bf8f-bb65ec80c0e9","BiomedicalConceptProperty_117"
"datetime","True","True","DSSTDTC","DSSTDTC","BiomedicalConceptProperty","503b0d36-d8b0-4045-88df-147b48140018","BiomedicalConceptProperty_118"
"string","True","True","Sex","Sex","BiomedicalConceptProperty","d4a0f4f7-6a86-48df-a330-d0af34907f0a","BiomedicalConceptProperty_119"
"string","True","True","Race","Race","BiomedicalConceptProperty","078a1e48-0f17-4665-b736-452faeda72ed","BiomedicalConceptProperty_120"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","57739b62-d63a-420b-949f-55fafdf90175","BiomedicalConceptProperty_121"
"float","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","ebd874bf-3193-49f4-a60c-9dc06262b37e","BiomedicalConceptProperty_122"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","1e8acc6e-aaed-4b7d-8226-f2508ee48ecf","BiomedicalConceptProperty_123"
"","True","True","VSLOC","VSLOC","BiomedicalConceptProperty","2bc34fc2-4b1e-48f6-8bc9-d2ff781ec1d2","BiomedicalConceptProperty_124"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","c475655d-6109-49af-b5c5-15ba917c1def","BiomedicalConceptProperty_125"
"float","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","c760984f-3be3-4328-a149-0fb5132013f1","BiomedicalConceptProperty_126"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","26644217-9d6f-4a5f-a365-c09c8075323b","BiomedicalConceptProperty_127"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","309eaa18-4d9d-411d-b836-be250963cbf4","BiomedicalConceptProperty_128"
"float","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","2f3f594d-fc3a-4284-81a3-14f49d5cde7b","BiomedicalConceptProperty_129"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","b94f6236-67eb-4553-8e7f-b7aa80b3b90b","BiomedicalConceptProperty_130"
"","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","0f22ffc1-10c8-4490-bf1a-9d8d274333db","BiomedicalConceptProperty_131"
"float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty","94a0e2f1-179f-455d-8b2d-6d99e2cec937","BiomedicalConceptProperty_132"
"","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty","44d617c6-79e6-4973-a5eb-66275ecdc1a0","BiomedicalConceptProperty_133"
"","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty","d40d23fd-5ba5-4c37-ad11-03ab3564027e","BiomedicalConceptProperty_134"
"","True","True","LBFAST","LBFAST","BiomedicalConceptProperty","c58437cb-e72b-4389-bc78-eaaba36e27b7","BiomedicalConceptProperty_135"
"","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","23c62f72-2f3d-4788-bd05-b3904ab2e097","BiomedicalConceptProperty_136"
"text","True","True","LBORRES","LBORRES","BiomedicalConceptProperty","e8d7f40b-4c55-44e1-a628-ef21ba779b84","BiomedicalConceptProperty_137"
"","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty","9fac9a3e-1c4a-4213-aef3-536a76b24da6","BiomedicalConceptProperty_138"
"","True","True","LBFAST","LBFAST","BiomedicalConceptProperty","d07bc674-9c4b-4bdd-990d-8df35564c593","BiomedicalConceptProperty_139"
"","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","6440416a-c263-44ae-99b6-7d5b2aa039c4","BiomedicalConceptProperty_140"
"float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty","24abaa24-576c-4991-b2d5-97157a9f3333","BiomedicalConceptProperty_141"
"","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty","c6138fa5-0067-4e39-a515-b47faa72b0c7","BiomedicalConceptProperty_142"
"","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty","4c5d1a61-e66a-4612-95a5-6d99b0ff19f2","BiomedicalConceptProperty_143"
"","True","True","LBFAST","LBFAST","BiomedicalConceptProperty","c6b73418-4fc2-40c1-96db-3bc47d72a7d4","BiomedicalConceptProperty_144"
"","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","0c8f9e01-f8c7-4f9e-8d23-d21e952d57c7","BiomedicalConceptProperty_145"
"float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty","c56633ab-620a-4ba5-9868-458d2d6aeb99","BiomedicalConceptProperty_146"
"","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty","d39d7742-d52b-4280-b5ba-b3fb189946b7","BiomedicalConceptProperty_147"
"","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty","14224353-48f8-436b-9e7d-6760a132ad56","BiomedicalConceptProperty_148"
"","True","True","LBFAST","LBFAST","BiomedicalConceptProperty","e53b9e6f-ec8f-48c8-bbe6-c4f0763cc6c3","BiomedicalConceptProperty_149"
"","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","ddb70e50-4dfe-498d-aa67-5fe9437c2234","BiomedicalConceptProperty_150"
"float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty","2d4c58ee-e3ba-456c-b287-0cadb4f0b15f","BiomedicalConceptProperty_151"
"","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty","ca104a05-3ae4-44e0-bef9-d32f5c5a606b","BiomedicalConceptProperty_152"
"","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty","91985832-a5cc-492e-8bc7-1f5f6c1d7d87","BiomedicalConceptProperty_153"
"","True","True","LBFAST","LBFAST","BiomedicalConceptProperty","eaeacb8a-57b5-41da-af6b-f5533208e52b","BiomedicalConceptProperty_154"
"","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","3af37004-0cfd-4e96-9ac7-c2bbd29ea7d8","BiomedicalConceptProperty_155"
"float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty","bf004efc-b379-421c-a386-972d7e61dc93","BiomedicalConceptProperty_156"
"","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty","18e6bfc1-8496-477a-bcf6-5902069c00cd","BiomedicalConceptProperty_157"
"","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty","fb35634a-5f84-49c6-9971-814e55dcec71","BiomedicalConceptProperty_158"
"","True","True","LBFAST","LBFAST","BiomedicalConceptProperty","51b2322f-3c7e-49df-a20d-69aeb5fa047d","BiomedicalConceptProperty_159"
"","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","d41e3d04-73ab-46e1-9000-7d140b09dcd8","BiomedicalConceptProperty_160"
"float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty","dce7c2a7-421b-471c-b4a9-5d475db4e687","BiomedicalConceptProperty_161"
"","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty","31fdb0bf-67c2-429d-9694-c73611d62b5c","BiomedicalConceptProperty_162"
"","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty","dd1d5eb2-fd01-4a49-a560-edf605120980","BiomedicalConceptProperty_163"
"","True","True","LBFAST","LBFAST","BiomedicalConceptProperty","049529ee-e7c2-41c9-b1eb-f20335b3987e","BiomedicalConceptProperty_164"
"","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","79560121-338b-4e7f-bfd7-ee64bc69a745","BiomedicalConceptProperty_165"
"float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty","bbff1806-ee21-4a26-9c6c-6715d05ec293","BiomedicalConceptProperty_166"
"","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty","2b5a3d1b-725f-4259-9108-968fd43622cb","BiomedicalConceptProperty_167"
"","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty","3ce35ca0-81e0-4788-adb0-c606c0bfa92a","BiomedicalConceptProperty_168"
"","True","True","LBFAST","LBFAST","BiomedicalConceptProperty","28c07902-003f-4155-8a9e-4fa1b29ed20e","BiomedicalConceptProperty_169"
"text","True","True","AETERM","AETERM","BiomedicalConceptProperty","a0d76415-fef4-4484-9fa9-99cb916ca6c1","BiomedicalConceptProperty_1"
"text","True","True","AEDECOD","AEDECOD","BiomedicalConceptProperty","fd24dd0d-6830-4186-a0a3-67714c5930a3","BiomedicalConceptProperty_2"
"text","True","True","AEPRESP","AEPRESP","BiomedicalConceptProperty","93079c3e-3573-403a-9388-201defd571f9","BiomedicalConceptProperty_3"
"text","True","True","AELOC","AELOC","BiomedicalConceptProperty","0db611c1-6de6-4820-98bb-edb85e2c7530","BiomedicalConceptProperty_4"
"text","True","True","AESEV","AESEV","BiomedicalConceptProperty","04ac24ee-79aa-4660-92bd-accd543146b5","BiomedicalConceptProperty_5"
"text","True","True","AESER","AESER","BiomedicalConceptProperty","9efc04fe-e55a-46aa-a0e0-ef3da34d3532","BiomedicalConceptProperty_6"
"text","True","True","AEACN","AEACN","BiomedicalConceptProperty","c76bbbb9-bc0c-4a6d-b150-cf27c8027165","BiomedicalConceptProperty_7"
"text","True","True","AEACNOTH","AEACNOTH","BiomedicalConceptProperty","65524a75-991c-4c18-91ea-add5514b193b","BiomedicalConceptProperty_8"
"text","True","True","AEREL","AEREL","BiomedicalConceptProperty","d86b4761-6b9b-45b7-b818-d3707b686e4e","BiomedicalConceptProperty_9"
"text","True","True","AERELNST","AERELNST","BiomedicalConceptProperty","4127ed2e-1925-463e-a0ca-3e3cce620abe","BiomedicalConceptProperty_10"
"text","True","True","AEPATT","AEPATT","BiomedicalConceptProperty","4bd40c1b-d7fd-40ac-aeed-5e425c4addca","BiomedicalConceptProperty_11"
"text","True","True","AEOUT","AEOUT","BiomedicalConceptProperty","96c339a0-4f45-4ea0-9f79-ad08f0ad8c74","BiomedicalConceptProperty_12"
"text","True","True","AESCAN","AESCAN","BiomedicalConceptProperty","537a0749-df68-4584-96f1-775ee593794d","BiomedicalConceptProperty_13"
"text","True","True","AESCONG","AESCONG","BiomedicalConceptProperty","dfbbcaaf-13bd-42bd-979f-d97d75749c8e","BiomedicalConceptProperty_14"
"text","True","True","AESDISAB","AESDISAB","BiomedicalConceptProperty","84d595f8-4875-41ea-9961-ae1aab2beff2","BiomedicalConceptProperty_15"
"text","True","True","AESDTH","AESDTH","BiomedicalConceptProperty","7b62fe90-77ca-4058-a39c-2a82ebd30158","BiomedicalConceptProperty_16"
"text","True","True","AESHOSP","AESHOSP","BiomedicalConceptProperty","4074f8e9-bcd4-428a-8629-a48bc721cd36","BiomedicalConceptProperty_17"
"text","True","True","AESLIFE","AESLIFE","BiomedicalConceptProperty","ed3303b3-e179-4476-a9a8-02958eb9f206","BiomedicalConceptProperty_18"
"text","True","True","AESOD","AESOD","BiomedicalConceptProperty","bc84bee2-46c2-403f-88f4-59752f973e6c","BiomedicalConceptProperty_19"
"text","True","True","AESMIE","AESMIE","BiomedicalConceptProperty","eeaffd1b-89d1-425c-9dba-fa8891164131","BiomedicalConceptProperty_20"
"text","True","True","AECONTRT","AECONTRT","BiomedicalConceptProperty","adb00fd5-cec7-4de6-b182-9944df04b52d","BiomedicalConceptProperty_21"
"datetime","True","True","AESTDTC","AESTDTC","BiomedicalConceptProperty","89304e85-2df7-452b-8bad-49b73816a90b","BiomedicalConceptProperty_22"
"datetime","True","True","AEENDTC","AEENDTC","BiomedicalConceptProperty","e496cb6c-f0b8-47ce-82b7-a7eadd8d213b","BiomedicalConceptProperty_23"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","d61ed290-ddc9-46a9-9b5a-9eac9c7321ed","BiomedicalConceptProperty_24"
"integer","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","6750237b-1cf6-45ea-8460-17d8fe801e9b","BiomedicalConceptProperty_25"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","82de795c-f9ab-40ab-bdab-4573a555b869","BiomedicalConceptProperty_26"
"","True","True","VSPOS","VSPOS","BiomedicalConceptProperty","017327e6-b7a9-42ff-8d13-3f9e3ce1cdc4","BiomedicalConceptProperty_27"
"","True","True","VSLOC","VSLOC","BiomedicalConceptProperty","0c5e68f6-8578-48fa-b53e-46e6c1eaed1d","BiomedicalConceptProperty_28"
"","True","True","VSLAT","VSLAT","BiomedicalConceptProperty","f6cd4f2f-30c5-40e7-a1b5-1f0a9e924af4","BiomedicalConceptProperty_29"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","4bf67628-28a5-41ba-8dec-b9d6fc2c640a","BiomedicalConceptProperty_30"
"integer","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","392c3dd8-0001-40df-8bcb-dda7213e8c51","BiomedicalConceptProperty_31"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","edf8ca05-fb8b-4da0-ae1c-2e0cd8ea7ade","BiomedicalConceptProperty_32"
"","True","True","VSPOS","VSPOS","BiomedicalConceptProperty","837d67c3-bbdd-4a9b-b296-9a37e4a926eb","BiomedicalConceptProperty_33"
"","True","True","VSLOC","VSLOC","BiomedicalConceptProperty","7486719f-1bbe-4241-aa43-e95c2a81625b","BiomedicalConceptProperty_34"
"","True","True","VSLAT","VSLAT","BiomedicalConceptProperty","bc14ac2b-2d90-4776-9b95-fa7b1058ce74","BiomedicalConceptProperty_35"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","927d9e90-b47f-4ccb-b1c0-e179ea9a056b","BiomedicalConceptProperty_36"
"float","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","c4c18eef-fb8d-4e39-99e8-159b7ab98c61","BiomedicalConceptProperty_37"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","74f56261-2a8f-497c-9fb8-0a819b6b3029","BiomedicalConceptProperty_38"
"","True","True","VSLOC","VSLOC","BiomedicalConceptProperty","7891d7a0-5f4d-452c-8ef6-f9a98b1d2cb7","BiomedicalConceptProperty_39"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","166f956a-0191-4aec-9638-489e82320beb","BiomedicalConceptProperty_40"
"float","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","94edd677-dab2-4432-9a44-774677c44d17","BiomedicalConceptProperty_41"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","ae46d9cf-c80e-44c1-9911-e74a74f984e0","BiomedicalConceptProperty_42"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","221672a4-a67d-4be7-a9d9-25e3668bee7a","BiomedicalConceptProperty_43"
"float","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","5947ceed-b0bc-4a0d-8529-32a112fcc976","BiomedicalConceptProperty_44"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","78a2ce2b-4608-4364-85e5-5f5b8d6683dd","BiomedicalConceptProperty_45"
"","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","cdb9058e-1499-4394-9b4c-6f8ba0acd94b","BiomedicalConceptProperty_46"
"float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty","4bed7a54-97c5-4203-8078-83feec2aa6aa","BiomedicalConceptProperty_47"
"","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty","b4b01932-b840-4b8c-b8f2-c7c213c8c14b","BiomedicalConceptProperty_48"
"","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty","3ae3a2e3-067a-44a1-81db-81e0babeb615","BiomedicalConceptProperty_49"
"","True","True","LBFAST","LBFAST","BiomedicalConceptProperty","17e321cf-203b-4dd9-8ab7-648537ff3fd9","BiomedicalConceptProperty_50"
"","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","ef66f3b1-7f29-4f7e-bbe2-a7a0286b0fcc","BiomedicalConceptProperty_51"
"text","True","True","LBORRES","LBORRES","BiomedicalConceptProperty","91715d78-6c77-4bb2-b694-3f2902df1f6b","BiomedicalConceptProperty_52"
"","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty","df6314dc-fa5f-49cc-b9b2-dd229796710d","BiomedicalConceptProperty_53"
"","True","True","LBFAST","LBFAST","BiomedicalConceptProperty","acd7653e-5a30-447f-98ed-a391d7167975","BiomedicalConceptProperty_54"
"","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","0703ebdc-408a-496c-b124-2554ea54a5b3","BiomedicalConceptProperty_55"
"float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty","905092c2-ad89-4e28-8fb6-c27727868e39","BiomedicalConceptProperty_56"
"","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty","1786a5e3-bf0f-4ab9-a939-d4f7d183ff23","BiomedicalConceptProperty_57"
"","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty","ae1ed17c-057a-4e98-92e9-a6b9113b146c","BiomedicalConceptProperty_58"
"","True","True","LBFAST","LBFAST","BiomedicalConceptProperty","828ec85a-633a-4919-b00a-15529e6d1b2f","BiomedicalConceptProperty_59"
"","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","1884baf9-f1db-463e-a138-6e77466fbf84","BiomedicalConceptProperty_60"
"float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty","be6b3356-29fa-42b8-b3f7-67d595e2a302","BiomedicalConceptProperty_61"
"","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty","0637d518-db0f-48b2-a057-5e4eec353a80","BiomedicalConceptProperty_62"
"","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty","cf36b899-5345-4e40-82d1-bfcb4dac3a2e","BiomedicalConceptProperty_63"
"","True","True","LBFAST","LBFAST","BiomedicalConceptProperty","02ce14e5-d82c-4a20-903f-8f3b3eb4ef22","BiomedicalConceptProperty_64"
"","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","7bcf29ac-e231-4fde-ae2b-26e966b21b96","BiomedicalConceptProperty_65"
"float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty","ec14f2b3-e6a1-4b86-9f27-976cb6ba2ebc","BiomedicalConceptProperty_66"
"","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty","fdc8e39a-788a-45d1-b7c6-5f6bfb940e7c","BiomedicalConceptProperty_67"
"","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty","96b36a9b-96d1-425d-b7f8-16282bcc9140","BiomedicalConceptProperty_68"
"","True","True","LBFAST","LBFAST","BiomedicalConceptProperty","17081b3e-66b4-4ae8-b4df-e0ac18ba9d56","BiomedicalConceptProperty_69"
"","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","2645684b-8cc7-47ae-8e03-692e7f60bddc","BiomedicalConceptProperty_70"
"float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty","64c17500-c59d-43b5-b823-91c0ff8e514e","BiomedicalConceptProperty_71"
"","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty","6560c486-fe3b-4643-9704-9ab543427704","BiomedicalConceptProperty_72"
"","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty","ad13f6ae-56c5-43c4-b43d-b8c3cf543c00","BiomedicalConceptProperty_73"
"","True","True","LBFAST","LBFAST","BiomedicalConceptProperty","ca017e68-99f9-48de-9732-974d8eb63560","BiomedicalConceptProperty_74"
"","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","0f2fd8ff-5037-494d-82a2-6588adcc0399","BiomedicalConceptProperty_75"
"float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty","01591c45-4ac7-469a-a55a-10009fa82beb","BiomedicalConceptProperty_76"
"","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty","7ca49edc-fdb2-4968-88fc-bb076244f9e7","BiomedicalConceptProperty_77"
"","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty","7c9b8a25-b375-44e4-887b-cb84bd3d331f","BiomedicalConceptProperty_78"
"","True","True","LBFAST","LBFAST","BiomedicalConceptProperty","46c2a62c-0f06-4f7f-b686-a01269dc5f7d","BiomedicalConceptProperty_79"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","938670b8-4f32-408b-b15a-cdffa0c2ee51","BiomedicalConceptProperty_80"
"integer","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","e4fe4158-0e16-488f-af0e-3e582bfdbef9","BiomedicalConceptProperty_81"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","b15a4c63-73b1-4d85-93a1-25561d677fa7","BiomedicalConceptProperty_82"
"","True","True","VSPOS","VSPOS","BiomedicalConceptProperty","4911d8eb-6f39-4400-9e3e-90b5b70e88a8","BiomedicalConceptProperty_83"
"","True","True","VSLOC","VSLOC","BiomedicalConceptProperty","f63462b7-1415-4618-bff3-40bb1d585eeb","BiomedicalConceptProperty_84"
"","True","True","VSLAT","VSLAT","BiomedicalConceptProperty","a0432738-08e5-485d-9f05-3c9241b98ec2","BiomedicalConceptProperty_85"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","08349471-f9ae-47d5-917d-71d78fb875cd","BiomedicalConceptProperty_86"
"integer","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","2abc8ed9-4599-4f9d-9672-e534e6313ce3","BiomedicalConceptProperty_87"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","09e3508b-2e5d-4915-ba51-c5e4b9df6ddb","BiomedicalConceptProperty_88"
"","True","True","VSPOS","VSPOS","BiomedicalConceptProperty","df314cf9-6149-45c6-95e3-adebcf622a41","BiomedicalConceptProperty_89"
"","True","True","VSLOC","VSLOC","BiomedicalConceptProperty","62b08e3c-a059-4c1c-90e7-cbe5e1215d46","BiomedicalConceptProperty_90"
"","True","True","VSLAT","VSLAT","BiomedicalConceptProperty","24007b33-9e18-4d80-b125-c893d0cb1e54","BiomedicalConceptProperty_91"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","e3a3de93-a39f-4fba-8baa-2e15352bfbc8","BiomedicalConceptProperty_92"
"integer","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","8d6164e1-c83a-4fbb-b05c-08e1b2bf28bc","BiomedicalConceptProperty_93"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","5e5956f0-26d4-427a-a49c-fa50da8bffeb","BiomedicalConceptProperty_94"
"","True","True","VSPOS","VSPOS","BiomedicalConceptProperty","c469d370-1fe7-4c3b-a595-0e73586c1650","BiomedicalConceptProperty_95"
"","True","True","VSLOC","VSLOC","BiomedicalConceptProperty","9e0a3bc0-348e-4157-b54a-cdd03f12c690","BiomedicalConceptProperty_96"
"","True","True","VSLAT","VSLAT","BiomedicalConceptProperty","3c37255e-f611-47e6-8ae1-5146d77049cc","BiomedicalConceptProperty_97"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","7e48676d-f88f-4e6e-b1e1-d26650dc80a4","BiomedicalConceptProperty_98"
"integer","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","c8997a23-2c17-4101-bd0c-ce938e351406","BiomedicalConceptProperty_99"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","1a34924f-ed5c-4003-b5af-bbe1444fa4b0","BiomedicalConceptProperty_100"
"","True","True","VSPOS","VSPOS","BiomedicalConceptProperty","4888b05a-3b25-498d-a0d7-8ba4782636ed","BiomedicalConceptProperty_101"
"","True","True","VSLOC","VSLOC","BiomedicalConceptProperty","41c330b8-e56f-41a3-880d-9762d312c8c9","BiomedicalConceptProperty_102"
"","True","True","VSLAT","VSLAT","BiomedicalConceptProperty","a2945e92-d7e0-4704-bdaa-df5c7aa9c2a3","BiomedicalConceptProperty_103"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","2d1bfa04-ba98-4cef-af96-7859e3997f81","BiomedicalConceptProperty_104"
"integer","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","24548070-a5b6-4df4-b73a-9f1335ddbeb4","BiomedicalConceptProperty_105"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","31eae958-6fec-45be-aa1f-65cd5de8b964","BiomedicalConceptProperty_106"
"","True","True","VSPOS","VSPOS","BiomedicalConceptProperty","f0356d88-a510-4e67-9a8b-2545a13fdee3","BiomedicalConceptProperty_107"
"","True","True","VSLOC","VSLOC","BiomedicalConceptProperty","1ff26dc9-50f7-439c-8d89-f23805b7b8ae","BiomedicalConceptProperty_108"
"","True","True","VSLAT","VSLAT","BiomedicalConceptProperty","1dae22fd-1c35-4875-8c98-d26121a34670","BiomedicalConceptProperty_109"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","b6123016-fc30-4803-bdda-4be7fc5cf395","BiomedicalConceptProperty_110"
"integer","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","c03d8cdf-912e-4785-81c1-7228259e6e8e","BiomedicalConceptProperty_111"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","6ccfaab2-7dda-4310-bd42-38aada0367c4","BiomedicalConceptProperty_112"
"","True","True","VSPOS","VSPOS","BiomedicalConceptProperty","8aedca74-53d8-4e3e-98e4-20253e13439e","BiomedicalConceptProperty_113"
"","True","True","VSLOC","VSLOC","BiomedicalConceptProperty","7b312efc-5b98-4927-af66-c6f65a72c2ed","BiomedicalConceptProperty_114"
"","True","True","VSLAT","VSLAT","BiomedicalConceptProperty","816bfe12-1a09-4b0e-b904-a974b6898835","BiomedicalConceptProperty_115"
