"name","uuid:ID","datatype","instanceType","id","isEnabled","isRequired","label"
"DSDECOD","fdc22604-1db0-46cc-b94f-5c3f8cb989fc","text","BiomedicalConceptProperty","BiomedicalConceptProperty_116","True","True","DSDECOD"
"DSTERM","3eb40eaf-91d7-46d1-a566-e3b4fbd2f029","text","BiomedicalConceptProperty","BiomedicalConceptProperty_117","True","True","DSTERM"
"DSSTDTC","7726efec-b84a-4b60-9501-a0463d1bb26f","datetime","BiomedicalConceptProperty","BiomedicalConceptProperty_118","True","True","DSSTDTC"
"Sex","ec36f865-e1f8-45ea-9562-8519cdce9bca","string","BiomedicalConceptProperty","BiomedicalConceptProperty_119","True","True","Sex"
"Race","1dde858a-9458-4713-af6f-a243046a1007","string","BiomedicalConceptProperty","BiomedicalConceptProperty_120","True","True","Race"
"VSTESTCD","4c3ff8f0-af92-40d0-ba02-6943da38d7cc","","BiomedicalConceptProperty","BiomedicalConceptProperty_121","True","True","VSTESTCD"
"VSORRES","9f10d3e9-0184-46d2-b465-7553aab9701d","float","BiomedicalConceptProperty","BiomedicalConceptProperty_122","True","True","VSORRES"
"VSORRESU","83c75c3a-3694-48e2-b8ac-1c54f96611c1","","BiomedicalConceptProperty","BiomedicalConceptProperty_123","True","True","VSORRESU"
"VSLOC","a3a6efb2-8f15-4820-9a64-40ce949ca309","","BiomedicalConceptProperty","BiomedicalConceptProperty_124","True","True","VSLOC"
"VSTESTCD","39fb1574-2945-4899-ae6a-d49dec0d4580","","BiomedicalConceptProperty","BiomedicalConceptProperty_125","True","True","VSTESTCD"
"VSORRES","848f9694-ef98-42c1-a4e4-9b62c7225c46","float","BiomedicalConceptProperty","BiomedicalConceptProperty_126","True","True","VSORRES"
"VSORRESU","5761d19d-0817-4851-a841-e77eb2cfd294","","BiomedicalConceptProperty","BiomedicalConceptProperty_127","True","True","VSORRESU"
"VSTESTCD","5f43d9cc-0755-47ee-b633-cd5be61f9a89","","BiomedicalConceptProperty","BiomedicalConceptProperty_128","True","True","VSTESTCD"
"VSORRES","c4c3461b-e52c-429f-8fbc-d9c6c737d5e4","float","BiomedicalConceptProperty","BiomedicalConceptProperty_129","True","True","VSORRES"
"VSORRESU","1720be1c-1710-448b-bb66-5db1823c1fbc","","BiomedicalConceptProperty","BiomedicalConceptProperty_130","True","True","VSORRESU"
"LBTESTCD","2bf1d91e-c1cf-430a-81ef-13efc276da1d","","BiomedicalConceptProperty","BiomedicalConceptProperty_131","True","True","LBTESTCD"
"LBORRES","f11c47c8-790e-492e-af1a-56935555d4a9","float","BiomedicalConceptProperty","BiomedicalConceptProperty_132","True","True","LBORRES"
"LBORRESU","3ee8cada-f6fe-4e7b-8f0f-7d824122148a","","BiomedicalConceptProperty","BiomedicalConceptProperty_133","True","True","LBORRESU"
"LBSPEC","230e9773-e7e5-464a-9cc1-c791686e8412","","BiomedicalConceptProperty","BiomedicalConceptProperty_134","True","True","LBSPEC"
"LBFAST","b5fcd25a-2c79-4ea1-846a-65fd1147d6fc","","BiomedicalConceptProperty","BiomedicalConceptProperty_135","True","True","LBFAST"
"LBTESTCD","e488029d-39e3-41f6-b40f-d1e51af2c8ec","","BiomedicalConceptProperty","BiomedicalConceptProperty_136","True","True","LBTESTCD"
"LBORRES","bf8b6efb-9b27-4377-bfd5-988b5f98c8e7","text","BiomedicalConceptProperty","BiomedicalConceptProperty_137","True","True","LBORRES"
"LBSPEC","8993b82d-6426-45a2-9db0-647b8c704936","","BiomedicalConceptProperty","BiomedicalConceptProperty_138","True","True","LBSPEC"
"LBFAST","ca00efe7-6deb-4f6c-aa16-84218637c78c","","BiomedicalConceptProperty","BiomedicalConceptProperty_139","True","True","LBFAST"
"LBTESTCD","742b7c2d-9279-4bfc-a93a-9be7e269f1c3","","BiomedicalConceptProperty","BiomedicalConceptProperty_140","True","True","LBTESTCD"
"LBORRES","4a9867f3-284e-4a55-ab03-9273c4442a80","float","BiomedicalConceptProperty","BiomedicalConceptProperty_141","True","True","LBORRES"
"LBORRESU","ba062b43-9073-406f-95f3-c6a48c1a9322","","BiomedicalConceptProperty","BiomedicalConceptProperty_142","True","True","LBORRESU"
"LBSPEC","5a04219c-2c72-4fe0-bf66-776ea87c3919","","BiomedicalConceptProperty","BiomedicalConceptProperty_143","True","True","LBSPEC"
"LBFAST","cc5df7cb-622a-4f96-87f9-1dd039daaef5","","BiomedicalConceptProperty","BiomedicalConceptProperty_144","True","True","LBFAST"
"LBTESTCD","d91176af-b427-4034-a4e5-9d31d3a8f193","","BiomedicalConceptProperty","BiomedicalConceptProperty_145","True","True","LBTESTCD"
"LBORRES","dbfc06ff-8323-4f27-b7af-2f989a28d187","float","BiomedicalConceptProperty","BiomedicalConceptProperty_146","True","True","LBORRES"
"LBORRESU","b836fc92-eb26-47b1-9a81-a6f20f1ec70d","","BiomedicalConceptProperty","BiomedicalConceptProperty_147","True","True","LBORRESU"
"LBSPEC","595de16c-450c-4523-8dc0-e8642976fcaa","","BiomedicalConceptProperty","BiomedicalConceptProperty_148","True","True","LBSPEC"
"LBFAST","a891179f-7b05-42a8-a3ee-65ef71ab9e96","","BiomedicalConceptProperty","BiomedicalConceptProperty_149","True","True","LBFAST"
"LBTESTCD","d1170a3b-5d77-4f0b-a101-9b0c00a563fd","","BiomedicalConceptProperty","BiomedicalConceptProperty_150","True","True","LBTESTCD"
"LBORRES","6ab325de-d94f-4014-98bf-abb4c0e4494e","float","BiomedicalConceptProperty","BiomedicalConceptProperty_151","True","True","LBORRES"
"LBORRESU","e667e6cc-2c92-4881-97d2-9f84361616d8","","BiomedicalConceptProperty","BiomedicalConceptProperty_152","True","True","LBORRESU"
"LBSPEC","20f4eeff-c95f-4436-9523-13bb4d4bb265","","BiomedicalConceptProperty","BiomedicalConceptProperty_153","True","True","LBSPEC"
"LBFAST","f66ff4db-a92b-44da-a193-9983bb1df63e","","BiomedicalConceptProperty","BiomedicalConceptProperty_154","True","True","LBFAST"
"LBTESTCD","79b2a9a7-63e2-4d11-a9e0-df900563393f","","BiomedicalConceptProperty","BiomedicalConceptProperty_155","True","True","LBTESTCD"
"LBORRES","a049d10d-d721-4b11-b224-c0c9fbfc6550","float","BiomedicalConceptProperty","BiomedicalConceptProperty_156","True","True","LBORRES"
"LBORRESU","2696962f-ad66-41e0-a5c6-375baf351de7","","BiomedicalConceptProperty","BiomedicalConceptProperty_157","True","True","LBORRESU"
"LBSPEC","05b87545-26d0-4168-902a-a9e3e5d08615","","BiomedicalConceptProperty","BiomedicalConceptProperty_158","True","True","LBSPEC"
"LBFAST","c1cb873e-8037-48d6-a4cc-e695d8f0d015","","BiomedicalConceptProperty","BiomedicalConceptProperty_159","True","True","LBFAST"
"LBTESTCD","161efe5f-ec45-47e1-b2c3-31ff9fccad0b","","BiomedicalConceptProperty","BiomedicalConceptProperty_160","True","True","LBTESTCD"
"LBORRES","f0f92ae1-f712-4fcc-aec8-2d615f7af30c","float","BiomedicalConceptProperty","BiomedicalConceptProperty_161","True","True","LBORRES"
"LBORRESU","62c97f8b-b0ec-4c1d-8376-e2f8ed167535","","BiomedicalConceptProperty","BiomedicalConceptProperty_162","True","True","LBORRESU"
"LBSPEC","af698c2a-a2ed-45d2-a132-0d5c19980094","","BiomedicalConceptProperty","BiomedicalConceptProperty_163","True","True","LBSPEC"
"LBFAST","aa969501-0a50-4592-8a65-01c395ad5057","","BiomedicalConceptProperty","BiomedicalConceptProperty_164","True","True","LBFAST"
"LBTESTCD","97698a81-8561-46f5-92cb-384e319fd93c","","BiomedicalConceptProperty","BiomedicalConceptProperty_165","True","True","LBTESTCD"
"LBORRES","182ba0de-64fb-4fb1-9199-378af71cc497","float","BiomedicalConceptProperty","BiomedicalConceptProperty_166","True","True","LBORRES"
"LBORRESU","84ec42fa-ea5d-4677-9d75-65f3d029a18d","","BiomedicalConceptProperty","BiomedicalConceptProperty_167","True","True","LBORRESU"
"LBSPEC","853cc0d2-9d87-4caa-b9a7-4b06bf812a96","","BiomedicalConceptProperty","BiomedicalConceptProperty_168","True","True","LBSPEC"
"LBFAST","e385a277-a912-4e16-843b-6dbfcb652f52","","BiomedicalConceptProperty","BiomedicalConceptProperty_169","True","True","LBFAST"
"AETERM","ce23953b-6231-4b3d-8daf-49038c7c9255","text","BiomedicalConceptProperty","BiomedicalConceptProperty_1","True","True","AETERM"
"AEDECOD","4059cc5d-d5ad-4311-81de-980768475307","text","BiomedicalConceptProperty","BiomedicalConceptProperty_2","True","True","AEDECOD"
"AEPRESP","5f4180b6-61e3-43a0-84da-9ff1a594869c","text","BiomedicalConceptProperty","BiomedicalConceptProperty_3","True","True","AEPRESP"
"AELOC","d358f82b-4104-440b-869f-97f912293e62","text","BiomedicalConceptProperty","BiomedicalConceptProperty_4","True","True","AELOC"
"AESEV","5e4a07d0-9c6b-4ee7-9685-c46d1738b87a","text","BiomedicalConceptProperty","BiomedicalConceptProperty_5","True","True","AESEV"
"AESER","63cca3a3-a661-428d-b9f8-4d8ff0c7fc55","text","BiomedicalConceptProperty","BiomedicalConceptProperty_6","True","True","AESER"
"AEACN","a74fe4d6-aa8f-476e-9116-f35a2852d255","text","BiomedicalConceptProperty","BiomedicalConceptProperty_7","True","True","AEACN"
"AEACNOTH","a9417980-209a-49cd-aec0-73a38423167d","text","BiomedicalConceptProperty","BiomedicalConceptProperty_8","True","True","AEACNOTH"
"AEREL","63272f0c-4d28-4824-904b-3ae7dc15b3d7","text","BiomedicalConceptProperty","BiomedicalConceptProperty_9","True","True","AEREL"
"AERELNST","0ff9f306-3431-4d5e-a1ca-cc0265c9692a","text","BiomedicalConceptProperty","BiomedicalConceptProperty_10","True","True","AERELNST"
"AEPATT","c4e72586-867e-4142-a960-316986cd5fee","text","BiomedicalConceptProperty","BiomedicalConceptProperty_11","True","True","AEPATT"
"AEOUT","1b0d876e-ec6c-42d8-ad74-d68e91e20970","text","BiomedicalConceptProperty","BiomedicalConceptProperty_12","True","True","AEOUT"
"AESCAN","50fece8a-b34a-42f9-96cb-38ac78271221","text","BiomedicalConceptProperty","BiomedicalConceptProperty_13","True","True","AESCAN"
"AESCONG","e6eff53c-f378-47ba-9a29-8c74ea6e8f10","text","BiomedicalConceptProperty","BiomedicalConceptProperty_14","True","True","AESCONG"
"AESDISAB","84d1ad96-288e-4e87-b1a7-b7875fdd63da","text","BiomedicalConceptProperty","BiomedicalConceptProperty_15","True","True","AESDISAB"
"AESDTH","9efff600-d8a9-46ba-954f-786f48635408","text","BiomedicalConceptProperty","BiomedicalConceptProperty_16","True","True","AESDTH"
"AESHOSP","1be6e74b-b0b6-475e-aa3e-6690141c16f0","text","BiomedicalConceptProperty","BiomedicalConceptProperty_17","True","True","AESHOSP"
"AESLIFE","a0eb79d8-d4c4-45c5-a51e-e832a95517ce","text","BiomedicalConceptProperty","BiomedicalConceptProperty_18","True","True","AESLIFE"
"AESOD","c9f25118-7a2f-4d83-99dc-9ba6d231bf30","text","BiomedicalConceptProperty","BiomedicalConceptProperty_19","True","True","AESOD"
"AESMIE","1d35ff71-3945-425f-aaec-7a83c66b6fbc","text","BiomedicalConceptProperty","BiomedicalConceptProperty_20","True","True","AESMIE"
"AECONTRT","39cf48d3-1aec-47bf-b10a-baed92912beb","text","BiomedicalConceptProperty","BiomedicalConceptProperty_21","True","True","AECONTRT"
"AESTDTC","59f0e92c-0a5d-4a43-9837-a7ef25361398","datetime","BiomedicalConceptProperty","BiomedicalConceptProperty_22","True","True","AESTDTC"
"AEENDTC","94e23f6d-e82b-4831-9f5d-b185851fa07a","datetime","BiomedicalConceptProperty","BiomedicalConceptProperty_23","True","True","AEENDTC"
"VSTESTCD","28b1ed98-565a-4515-88f6-9cc986ed0dc5","","BiomedicalConceptProperty","BiomedicalConceptProperty_24","True","True","VSTESTCD"
"VSORRES","5dc99ced-fd0a-4f18-999b-c702d37b77fd","integer","BiomedicalConceptProperty","BiomedicalConceptProperty_25","True","True","VSORRES"
"VSORRESU","486fcf1f-7b60-497b-8e32-8ae7990fea89","","BiomedicalConceptProperty","BiomedicalConceptProperty_26","True","True","VSORRESU"
"VSPOS","35d13a71-6efb-49c7-b5c6-8fdeb3dcaa7f","","BiomedicalConceptProperty","BiomedicalConceptProperty_27","True","True","VSPOS"
"VSLOC","0608d6d4-53b7-493b-b7f4-3e686a762ef2","","BiomedicalConceptProperty","BiomedicalConceptProperty_28","True","True","VSLOC"
"VSLAT","a5244a0c-1733-4df8-8251-ccaec96b991d","","BiomedicalConceptProperty","BiomedicalConceptProperty_29","True","True","VSLAT"
"VSTESTCD","375fe8ec-e110-447c-9e01-aca484205df2","","BiomedicalConceptProperty","BiomedicalConceptProperty_30","True","True","VSTESTCD"
"VSORRES","ff7e4290-1f6e-4d10-92a5-895b062c1c0c","integer","BiomedicalConceptProperty","BiomedicalConceptProperty_31","True","True","VSORRES"
"VSORRESU","42c86a50-67e9-4281-8b87-d40cb6c2b0a2","","BiomedicalConceptProperty","BiomedicalConceptProperty_32","True","True","VSORRESU"
"VSPOS","d48f2c6b-78ac-47d8-9be9-ad1d4995e5f8","","BiomedicalConceptProperty","BiomedicalConceptProperty_33","True","True","VSPOS"
"VSLOC","34817d0f-8d17-4e44-bcde-600f6c1fe91e","","BiomedicalConceptProperty","BiomedicalConceptProperty_34","True","True","VSLOC"
"VSLAT","1912cf27-9699-4aea-876f-236920027715","","BiomedicalConceptProperty","BiomedicalConceptProperty_35","True","True","VSLAT"
"VSTESTCD","3962d37d-232a-4722-9416-ec2f41b55eae","","BiomedicalConceptProperty","BiomedicalConceptProperty_36","True","True","VSTESTCD"
"VSORRES","b50cd3c0-a2a9-41cc-80a5-a050566653e1","float","BiomedicalConceptProperty","BiomedicalConceptProperty_37","True","True","VSORRES"
"VSORRESU","fe442063-b3d6-4d3e-a49e-e9d204debc0c","","BiomedicalConceptProperty","BiomedicalConceptProperty_38","True","True","VSORRESU"
"VSLOC","e3600ee6-b156-4979-bb10-5c0e6fd6bd21","","BiomedicalConceptProperty","BiomedicalConceptProperty_39","True","True","VSLOC"
"VSTESTCD","70098e58-cf62-4c0b-a104-1ab2f6f579ae","","BiomedicalConceptProperty","BiomedicalConceptProperty_40","True","True","VSTESTCD"
"VSORRES","d6f7af40-e8d9-4dae-aa03-b641c4725fa8","float","BiomedicalConceptProperty","BiomedicalConceptProperty_41","True","True","VSORRES"
"VSORRESU","5907294f-b99f-44a0-b26d-ab123254c4db","","BiomedicalConceptProperty","BiomedicalConceptProperty_42","True","True","VSORRESU"
"VSTESTCD","a3ffb57b-9e04-4799-acb5-6090a9d8314a","","BiomedicalConceptProperty","BiomedicalConceptProperty_43","True","True","VSTESTCD"
"VSORRES","d41e1e6c-2a5c-4e3d-af7e-8f37d09d7116","float","BiomedicalConceptProperty","BiomedicalConceptProperty_44","True","True","VSORRES"
"VSORRESU","18d7cae2-74be-4844-8ea0-18cb8ffd4a89","","BiomedicalConceptProperty","BiomedicalConceptProperty_45","True","True","VSORRESU"
"LBTESTCD","7933a330-9137-4a36-81b2-80c24b9fdfb1","","BiomedicalConceptProperty","BiomedicalConceptProperty_46","True","True","LBTESTCD"
"LBORRES","7b0bc203-4ffa-4246-8af7-74b370f81fe0","float","BiomedicalConceptProperty","BiomedicalConceptProperty_47","True","True","LBORRES"
"LBORRESU","53852d65-2588-4376-8959-ea39d6e96054","","BiomedicalConceptProperty","BiomedicalConceptProperty_48","True","True","LBORRESU"
"LBSPEC","9d4f642b-48a9-42d2-a4ad-9a01debe0d71","","BiomedicalConceptProperty","BiomedicalConceptProperty_49","True","True","LBSPEC"
"LBFAST","6d37643f-be3d-4029-b57b-1c918338cb43","","BiomedicalConceptProperty","BiomedicalConceptProperty_50","True","True","LBFAST"
"LBTESTCD","ecc19f7a-6cc9-499d-8188-efc18637823d","","BiomedicalConceptProperty","BiomedicalConceptProperty_51","True","True","LBTESTCD"
"LBORRES","2d6869a4-f98d-4069-a06d-042efffea878","text","BiomedicalConceptProperty","BiomedicalConceptProperty_52","True","True","LBORRES"
"LBSPEC","7fd0c5f1-72f9-4cde-a3e3-7107ec8b1444","","BiomedicalConceptProperty","BiomedicalConceptProperty_53","True","True","LBSPEC"
"LBFAST","c91e4e3e-3fb7-4f56-9620-3091d1bc0a2d","","BiomedicalConceptProperty","BiomedicalConceptProperty_54","True","True","LBFAST"
"LBTESTCD","4217a775-1bb0-48b8-aa35-0e98efbf6e6a","","BiomedicalConceptProperty","BiomedicalConceptProperty_55","True","True","LBTESTCD"
"LBORRES","84f81260-1ce8-42e3-83ab-33fb45642c5d","float","BiomedicalConceptProperty","BiomedicalConceptProperty_56","True","True","LBORRES"
"LBORRESU","9ae0bdfc-666f-46c5-9255-52814afd5e1c","","BiomedicalConceptProperty","BiomedicalConceptProperty_57","True","True","LBORRESU"
"LBSPEC","34eed3e3-9400-4abc-a961-0cda6c2d1b65","","BiomedicalConceptProperty","BiomedicalConceptProperty_58","True","True","LBSPEC"
"LBFAST","1d84a362-b828-4cfa-b68a-1e9b1652106a","","BiomedicalConceptProperty","BiomedicalConceptProperty_59","True","True","LBFAST"
"LBTESTCD","8325873e-727a-4966-88ce-969f62c1f534","","BiomedicalConceptProperty","BiomedicalConceptProperty_60","True","True","LBTESTCD"
"LBORRES","05061716-936a-469c-af62-2f1ea3313d8c","float","BiomedicalConceptProperty","BiomedicalConceptProperty_61","True","True","LBORRES"
"LBORRESU","8fdc5ee1-b8b6-47fd-b964-783cbba62e83","","BiomedicalConceptProperty","BiomedicalConceptProperty_62","True","True","LBORRESU"
"LBSPEC","ccd9a661-1a4f-43fd-9d57-d956ba37907e","","BiomedicalConceptProperty","BiomedicalConceptProperty_63","True","True","LBSPEC"
"LBFAST","1db0ee08-7750-41c1-bc25-3533290eb0d4","","BiomedicalConceptProperty","BiomedicalConceptProperty_64","True","True","LBFAST"
"LBTESTCD","8234b75a-b322-4b4f-8523-aff1933a1f66","","BiomedicalConceptProperty","BiomedicalConceptProperty_65","True","True","LBTESTCD"
"LBORRES","208ccd35-d90e-447f-958d-2d0be6c5ed35","float","BiomedicalConceptProperty","BiomedicalConceptProperty_66","True","True","LBORRES"
"LBORRESU","7f207240-a820-4c6a-8bbd-c0ae6dc02141","","BiomedicalConceptProperty","BiomedicalConceptProperty_67","True","True","LBORRESU"
"LBSPEC","207a77ee-c3ba-402b-aa1c-66d499518e2a","","BiomedicalConceptProperty","BiomedicalConceptProperty_68","True","True","LBSPEC"
"LBFAST","5f030492-7f87-49c9-8704-3ea83c42aed7","","BiomedicalConceptProperty","BiomedicalConceptProperty_69","True","True","LBFAST"
"LBTESTCD","68193fb7-a302-4834-8fc2-61ff1c6c973c","","BiomedicalConceptProperty","BiomedicalConceptProperty_70","True","True","LBTESTCD"
"LBORRES","0cb73ffa-ccac-4c4d-ba09-dbe2659ad7e7","float","BiomedicalConceptProperty","BiomedicalConceptProperty_71","True","True","LBORRES"
"LBORRESU","7f78658b-de4a-4761-8386-37a3addb50f2","","BiomedicalConceptProperty","BiomedicalConceptProperty_72","True","True","LBORRESU"
"LBSPEC","b7498d8a-3cb2-4b4f-9199-227ee0367d0b","","BiomedicalConceptProperty","BiomedicalConceptProperty_73","True","True","LBSPEC"
"LBFAST","5f054781-1b3a-4517-86b3-ffa8e77a9e36","","BiomedicalConceptProperty","BiomedicalConceptProperty_74","True","True","LBFAST"
"LBTESTCD","880a0d43-dfbf-4188-b5e7-d56a7ef420da","","BiomedicalConceptProperty","BiomedicalConceptProperty_75","True","True","LBTESTCD"
"LBORRES","2d13206a-1a54-43cc-a316-bccc471d305b","float","BiomedicalConceptProperty","BiomedicalConceptProperty_76","True","True","LBORRES"
"LBORRESU","3c76a5a8-6c14-4e98-9a31-45d5bed2650c","","BiomedicalConceptProperty","BiomedicalConceptProperty_77","True","True","LBORRESU"
"LBSPEC","e3dfb15d-f69b-4869-821e-2a28659ddeab","","BiomedicalConceptProperty","BiomedicalConceptProperty_78","True","True","LBSPEC"
"LBFAST","58b29515-1f30-4b9f-98c4-c72cc5fe0b1f","","BiomedicalConceptProperty","BiomedicalConceptProperty_79","True","True","LBFAST"
"VSTESTCD","2fb32723-1084-4699-8cad-275ab515dfc5","","BiomedicalConceptProperty","BiomedicalConceptProperty_80","True","True","VSTESTCD"
"VSORRES","3ced20c1-5649-41d7-86cf-aeb16b440f62","integer","BiomedicalConceptProperty","BiomedicalConceptProperty_81","True","True","VSORRES"
"VSORRESU","0c1c784a-7010-49d5-be05-86a62fcf533e","","BiomedicalConceptProperty","BiomedicalConceptProperty_82","True","True","VSORRESU"
"VSPOS","63a53dcb-a306-406d-b7b1-87c2ae403cb5","","BiomedicalConceptProperty","BiomedicalConceptProperty_83","True","True","VSPOS"
"VSLOC","8f662fd7-7d8a-4e61-bb3e-29d123fccdd0","","BiomedicalConceptProperty","BiomedicalConceptProperty_84","True","True","VSLOC"
"VSLAT","574bd083-8caa-4126-babc-3867ef56a540","","BiomedicalConceptProperty","BiomedicalConceptProperty_85","True","True","VSLAT"
"VSTESTCD","436b8109-84db-4b82-817f-431bb64a8f03","","BiomedicalConceptProperty","BiomedicalConceptProperty_86","True","True","VSTESTCD"
"VSORRES","7dbeae68-38b0-43af-89d2-7e7e0959ca99","integer","BiomedicalConceptProperty","BiomedicalConceptProperty_87","True","True","VSORRES"
"VSORRESU","73c0b281-87d8-46e1-9184-29a9c2e4182b","","BiomedicalConceptProperty","BiomedicalConceptProperty_88","True","True","VSORRESU"
"VSPOS","dec49d27-f0bc-4170-895b-b4f907c7c92a","","BiomedicalConceptProperty","BiomedicalConceptProperty_89","True","True","VSPOS"
"VSLOC","9d1e76f3-8205-408e-8907-06a9b6697212","","BiomedicalConceptProperty","BiomedicalConceptProperty_90","True","True","VSLOC"
"VSLAT","2f254cd5-d180-41f4-9c52-d4b83b754c74","","BiomedicalConceptProperty","BiomedicalConceptProperty_91","True","True","VSLAT"
"VSTESTCD","a5bcaadd-41f8-4ea9-9806-e1a289c1a5a5","","BiomedicalConceptProperty","BiomedicalConceptProperty_92","True","True","VSTESTCD"
"VSORRES","1b605fcf-9825-40dd-974d-2731c15aacd5","integer","BiomedicalConceptProperty","BiomedicalConceptProperty_93","True","True","VSORRES"
"VSORRESU","7499ce3b-66dc-4110-af6f-30b7b46c0792","","BiomedicalConceptProperty","BiomedicalConceptProperty_94","True","True","VSORRESU"
"VSPOS","071e2ece-3ad5-4b4a-a3eb-2702b0f3cf17","","BiomedicalConceptProperty","BiomedicalConceptProperty_95","True","True","VSPOS"
"VSLOC","4863a0fc-ca02-402d-83ae-df0cf723c98d","","BiomedicalConceptProperty","BiomedicalConceptProperty_96","True","True","VSLOC"
"VSLAT","978b5507-5b57-4bcc-b1f4-fbaf4877e1ee","","BiomedicalConceptProperty","BiomedicalConceptProperty_97","True","True","VSLAT"
"VSTESTCD","d900b268-5728-4b57-a3ce-3d653ff96a94","","BiomedicalConceptProperty","BiomedicalConceptProperty_98","True","True","VSTESTCD"
"VSORRES","73de06c4-d730-4807-937c-eceea405c722","integer","BiomedicalConceptProperty","BiomedicalConceptProperty_99","True","True","VSORRES"
"VSORRESU","3f2e5196-227b-4ded-beb3-18d3a2717897","","BiomedicalConceptProperty","BiomedicalConceptProperty_100","True","True","VSORRESU"
"VSPOS","034bace9-4826-4b7a-834e-12f6c874db5f","","BiomedicalConceptProperty","BiomedicalConceptProperty_101","True","True","VSPOS"
"VSLOC","1785d187-9025-4fce-9e42-17b513e5a198","","BiomedicalConceptProperty","BiomedicalConceptProperty_102","True","True","VSLOC"
"VSLAT","0720e950-e109-4cf0-97e1-5721f068f100","","BiomedicalConceptProperty","BiomedicalConceptProperty_103","True","True","VSLAT"
"VSTESTCD","40c838ff-1c93-4f5d-8695-5e0c8cc5328c","","BiomedicalConceptProperty","BiomedicalConceptProperty_104","True","True","VSTESTCD"
"VSORRES","c9da05ac-5da7-4593-afc8-06c167fe7c88","integer","BiomedicalConceptProperty","BiomedicalConceptProperty_105","True","True","VSORRES"
"VSORRESU","8f1efc60-801a-48d1-9d20-639100675a52","","BiomedicalConceptProperty","BiomedicalConceptProperty_106","True","True","VSORRESU"
"VSPOS","46254bb5-e504-47e1-89e2-30a1d8d350ca","","BiomedicalConceptProperty","BiomedicalConceptProperty_107","True","True","VSPOS"
"VSLOC","c6a5edb8-dc61-49a9-bfb3-e018da0225ab","","BiomedicalConceptProperty","BiomedicalConceptProperty_108","True","True","VSLOC"
"VSLAT","5acca421-66fa-4617-b0a9-48c1fb171cfd","","BiomedicalConceptProperty","BiomedicalConceptProperty_109","True","True","VSLAT"
"VSTESTCD","be13c7b5-067b-4f27-8e56-6bb855d894b1","","BiomedicalConceptProperty","BiomedicalConceptProperty_110","True","True","VSTESTCD"
"VSORRES","0a819284-1399-4e4b-b844-8c27df18504d","integer","BiomedicalConceptProperty","BiomedicalConceptProperty_111","True","True","VSORRES"
"VSORRESU","743a1faf-7f56-49be-aa0b-505905368e2f","","BiomedicalConceptProperty","BiomedicalConceptProperty_112","True","True","VSORRESU"
"VSPOS","3b868311-fdce-49f5-ae51-45fbe3d72646","","BiomedicalConceptProperty","BiomedicalConceptProperty_113","True","True","VSPOS"
"VSLOC","eccebc1a-5bb8-4a13-9079-39a47a78c82c","","BiomedicalConceptProperty","BiomedicalConceptProperty_114","True","True","VSLOC"
"VSLAT","ffb97a43-8e9a-4d6f-86c2-e488adb30b8d","","BiomedicalConceptProperty","BiomedicalConceptProperty_115","True","True","VSLAT"
