"isEnabled","isRequired","uuid:ID","instanceType","datatype","name","id","label"
"True","True","c90658c6-9b33-4a73-8bed-2ef504a887cb","BiomedicalConceptProperty","text","DSDECOD","BiomedicalConceptProperty_116","DSDECOD"
"True","True","d21b19d5-c516-4911-a9d4-d2fbbed7256c","BiomedicalConceptProperty","text","DSTERM","BiomedicalConceptProperty_117","DSTERM"
"True","True","d5914bbf-d7b3-4865-b6aa-944abb1da050","BiomedicalConceptProperty","datetime","DSSTDTC","BiomedicalConceptProperty_118","DSSTDTC"
"True","True","60c0dc54-28c9-4f87-9d85-996b52943f53","BiomedicalConceptProperty","string","Sex","BiomedicalConceptProperty_119","Sex"
"True","True","97ce7189-67a2-444a-9fd2-c690b00d8eb4","BiomedicalConceptProperty","string","Race","BiomedicalConceptProperty_120","Race"
"True","True","51a18a0c-293f-4f29-9ab3-6f4a763248b5","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_121","VSTESTCD"
"True","True","a7728593-f148-4e3e-938f-35c841cda749","BiomedicalConceptProperty","float","VSORRES","BiomedicalConceptProperty_122","VSORRES"
"True","True","4a0969c5-61c5-4257-977f-88c284562e3b","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_123","VSORRESU"
"True","True","96e77c62-97de-4d3e-96ef-2617297c5097","BiomedicalConceptProperty","","VSLOC","BiomedicalConceptProperty_124","VSLOC"
"True","True","606be810-97e4-406c-b8e5-fb49558c17b9","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_125","VSTESTCD"
"True","True","c9483d1f-5bbf-4469-a6d2-4b741d45ab09","BiomedicalConceptProperty","float","VSORRES","BiomedicalConceptProperty_126","VSORRES"
"True","True","e55239d4-ddcf-48df-8a73-117ad1bc99a8","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_127","VSORRESU"
"True","True","9ea56f5d-0df1-4549-80a7-3b01bd0203fd","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_128","VSTESTCD"
"True","True","751cf4ef-03b3-4881-b94a-ca8091ac660c","BiomedicalConceptProperty","float","VSORRES","BiomedicalConceptProperty_129","VSORRES"
"True","True","46770771-3978-46fb-a2f4-daa9106fbcaa","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_130","VSORRESU"
"True","True","ab94c580-9084-4d14-97ed-f80723ce9fb4","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_131","LBTESTCD"
"True","True","4832b084-17c9-4509-9d03-b38767657282","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_132","LBORRES"
"True","True","4b97768f-aaad-4705-bc3d-4ef83da1c420","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_133","LBORRESU"
"True","True","3dfeecda-656a-4c53-8698-a8f31783fd5a","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_134","LBSPEC"
"True","True","61c10966-0d92-4dc4-8636-99c7065aea7d","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_135","LBFAST"
"True","True","f90f51e3-51f1-4bf4-99e6-2dda30f3ca90","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_136","LBTESTCD"
"True","True","96de5f67-a402-4709-9e68-155936f119fe","BiomedicalConceptProperty","text","LBORRES","BiomedicalConceptProperty_137","LBORRES"
"True","True","36f5e458-7c30-451d-9363-cbcb22a93785","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_138","LBSPEC"
"True","True","4f4136ef-f228-435f-bb59-697e7e7b2390","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_139","LBFAST"
"True","True","bc36fd28-c4fd-4342-a157-6eb0f6b07187","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_140","LBTESTCD"
"True","True","779a78c8-ab4b-4c80-9e5e-ca4acdbec96c","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_141","LBORRES"
"True","True","2b29fffc-eb7f-42db-ba42-1eb8d5b9b77b","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_142","LBORRESU"
"True","True","5facdb87-e5b3-4b4d-9a98-12c53215f1d1","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_143","LBSPEC"
"True","True","937f67d3-cf9b-4f30-813e-5141e4b959eb","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_144","LBFAST"
"True","True","fea5eb14-f6ea-4982-82a6-9cc4d35e72d8","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_145","LBTESTCD"
"True","True","1c74cfe4-a306-4e42-bebc-8f220186e522","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_146","LBORRES"
"True","True","fa39ecb2-c68f-439a-a9cc-35e4530842d1","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_147","LBORRESU"
"True","True","e1100d60-4f84-435f-8a7d-464795bef0cf","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_148","LBSPEC"
"True","True","bcaf7ca9-dced-4398-8bef-1c3ee9c0628a","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_149","LBFAST"
"True","True","56212597-a0f5-40cb-843a-256fae23d49a","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_150","LBTESTCD"
"True","True","1077f9d0-78cd-4439-b16f-d7f95686aee1","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_151","LBORRES"
"True","True","adfce96b-e056-4261-ad17-630852728a06","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_152","LBORRESU"
"True","True","05a7060a-6c94-4e60-a241-b28adbc0f130","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_153","LBSPEC"
"True","True","df8a4c9d-6fc0-4d9e-9c1b-edbd0cba1366","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_154","LBFAST"
"True","True","a00e7bc7-f08e-4208-8d53-22d6aac76b35","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_155","LBTESTCD"
"True","True","c3f72392-f7a0-4e2c-8496-b2bc0bd489de","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_156","LBORRES"
"True","True","22eab1a3-249a-4db3-bd51-f33e54b72fdf","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_157","LBORRESU"
"True","True","5ca6679a-bd3a-47c2-a1d7-2a6762f0feb0","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_158","LBSPEC"
"True","True","05f6f840-9f7d-42f6-9543-a8cd938b13a5","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_159","LBFAST"
"True","True","2c68e4d0-1352-44ec-b179-53f257a16685","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_160","LBTESTCD"
"True","True","acdf3501-6b3f-46e7-ace4-ce43241e519e","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_161","LBORRES"
"True","True","bc7c1375-b681-42b6-9e8c-2ab60e37ce92","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_162","LBORRESU"
"True","True","0440a6b8-3fe2-4987-a393-1b6e33f4d083","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_163","LBSPEC"
"True","True","a2d63ebf-e096-4184-a1a3-cc90d941f868","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_164","LBFAST"
"True","True","adf19698-a5cf-4a79-9a9e-d886e114e7d9","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_165","LBTESTCD"
"True","True","7904937e-317f-424e-a73e-1252bc6e97f5","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_166","LBORRES"
"True","True","07dde88f-08e1-4834-8f52-ff4487aaa590","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_167","LBORRESU"
"True","True","c1f35e15-1b95-4d31-90a6-3b9562475572","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_168","LBSPEC"
"True","True","c87d2c92-be8a-4c70-8bae-edbb9acb7011","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_169","LBFAST"
"True","True","07a73028-b670-43da-b082-ed40d5fa2680","BiomedicalConceptProperty","text","AETERM","BiomedicalConceptProperty_1","AETERM"
"True","True","fbbfe289-a4eb-4958-b7c7-a2b161aaed6f","BiomedicalConceptProperty","text","AEDECOD","BiomedicalConceptProperty_2","AEDECOD"
"True","True","b03ac7f6-fedd-41b3-b196-450337048fbf","BiomedicalConceptProperty","text","AEPRESP","BiomedicalConceptProperty_3","AEPRESP"
"True","True","2d5977ae-d679-44dc-8b10-6c66a18a55db","BiomedicalConceptProperty","text","AELOC","BiomedicalConceptProperty_4","AELOC"
"True","True","f53649b6-ef3d-422f-ad18-7150cd46500f","BiomedicalConceptProperty","text","AESEV","BiomedicalConceptProperty_5","AESEV"
"True","True","6c68888d-eadb-4420-942d-5abbba045eb6","BiomedicalConceptProperty","text","AESER","BiomedicalConceptProperty_6","AESER"
"True","True","e2e203a5-fb75-4321-83c6-07b8ea044be8","BiomedicalConceptProperty","text","AEACN","BiomedicalConceptProperty_7","AEACN"
"True","True","8add6947-325b-4854-9914-73c6a2ad2817","BiomedicalConceptProperty","text","AEACNOTH","BiomedicalConceptProperty_8","AEACNOTH"
"True","True","fbfd766a-865c-4598-ac64-dd9cb7f1a824","BiomedicalConceptProperty","text","AEREL","BiomedicalConceptProperty_9","AEREL"
"True","True","dac2a477-8093-463e-860e-2f53d17bbbf0","BiomedicalConceptProperty","text","AERELNST","BiomedicalConceptProperty_10","AERELNST"
"True","True","c9d4d71a-4733-42fd-be71-7cdeead6129c","BiomedicalConceptProperty","text","AEPATT","BiomedicalConceptProperty_11","AEPATT"
"True","True","91dcf0fd-1734-40d7-b03e-5244347cc4d9","BiomedicalConceptProperty","text","AEOUT","BiomedicalConceptProperty_12","AEOUT"
"True","True","ba68b78a-38db-4b31-b915-bf1ee0e66f6f","BiomedicalConceptProperty","text","AESCAN","BiomedicalConceptProperty_13","AESCAN"
"True","True","7263202c-643c-4aab-a4c7-056a989e1396","BiomedicalConceptProperty","text","AESCONG","BiomedicalConceptProperty_14","AESCONG"
"True","True","06173563-b15f-4da8-ae9d-8c28265d6211","BiomedicalConceptProperty","text","AESDISAB","BiomedicalConceptProperty_15","AESDISAB"
"True","True","a95c1798-f321-48ea-92ce-084c7396d67e","BiomedicalConceptProperty","text","AESDTH","BiomedicalConceptProperty_16","AESDTH"
"True","True","18426a37-31ee-4d5f-b126-c149fe911818","BiomedicalConceptProperty","text","AESHOSP","BiomedicalConceptProperty_17","AESHOSP"
"True","True","1b7a7ba2-87f9-485e-886f-e024ed725fbb","BiomedicalConceptProperty","text","AESLIFE","BiomedicalConceptProperty_18","AESLIFE"
"True","True","fa58b6f9-7ad4-4ab2-a7b8-0f3bd67bc175","BiomedicalConceptProperty","text","AESOD","BiomedicalConceptProperty_19","AESOD"
"True","True","d63c10f7-6477-4718-8ba3-848ffc2f3f25","BiomedicalConceptProperty","text","AESMIE","BiomedicalConceptProperty_20","AESMIE"
"True","True","0fc97700-57d7-446c-8022-78b2426dad6d","BiomedicalConceptProperty","text","AECONTRT","BiomedicalConceptProperty_21","AECONTRT"
"True","True","f0f6cc44-f0d2-4d09-af10-368faed794c7","BiomedicalConceptProperty","datetime","AESTDTC","BiomedicalConceptProperty_22","AESTDTC"
"True","True","7dce4a1e-ae53-4224-95e4-0bb597ffccb2","BiomedicalConceptProperty","datetime","AEENDTC","BiomedicalConceptProperty_23","AEENDTC"
"True","True","0532d4b0-7683-4062-861e-2c52ebca0f8f","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_24","VSTESTCD"
"True","True","cfe80d2c-0cc9-4f55-9532-50a31e99a972","BiomedicalConceptProperty","integer","VSORRES","BiomedicalConceptProperty_25","VSORRES"
"True","True","f757f4e8-425f-4111-b4de-3aaa33bfba25","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_26","VSORRESU"
"True","True","c3ffce6e-c40d-419d-aeb1-803bd224d2af","BiomedicalConceptProperty","","VSPOS","BiomedicalConceptProperty_27","VSPOS"
"True","True","ae48cfbf-8a35-4343-883d-27681519cb10","BiomedicalConceptProperty","","VSLOC","BiomedicalConceptProperty_28","VSLOC"
"True","True","ead8a4f8-34f9-4d40-b2dc-c06f09abbbb0","BiomedicalConceptProperty","","VSLAT","BiomedicalConceptProperty_29","VSLAT"
"True","True","d5fc3deb-5e5a-4044-bd20-0f9ffe9a733f","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_30","VSTESTCD"
"True","True","ebf63045-8c63-4580-bc78-99ac8287a4a7","BiomedicalConceptProperty","integer","VSORRES","BiomedicalConceptProperty_31","VSORRES"
"True","True","6d7f33de-4eea-4627-8077-37ec9e053ec1","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_32","VSORRESU"
"True","True","bf5918ad-a03e-4948-ab93-1e110098a8b4","BiomedicalConceptProperty","","VSPOS","BiomedicalConceptProperty_33","VSPOS"
"True","True","2b4df6d0-0385-4d35-a8b4-fb5c359cbe58","BiomedicalConceptProperty","","VSLOC","BiomedicalConceptProperty_34","VSLOC"
"True","True","a05761d3-e422-4de9-96c0-38027436b67f","BiomedicalConceptProperty","","VSLAT","BiomedicalConceptProperty_35","VSLAT"
"True","True","b344957f-819e-482c-82bb-586c912b816c","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_36","VSTESTCD"
"True","True","dc9150e6-c438-4827-b1c5-ff68935784be","BiomedicalConceptProperty","float","VSORRES","BiomedicalConceptProperty_37","VSORRES"
"True","True","f27a821f-6b07-4553-afb2-b3f7522d4ccf","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_38","VSORRESU"
"True","True","b26cba26-85ca-4b8e-999b-fe47dca33071","BiomedicalConceptProperty","","VSLOC","BiomedicalConceptProperty_39","VSLOC"
"True","True","7d63a965-a06f-4659-bb65-ba46f0dbb486","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_40","VSTESTCD"
"True","True","cba5aec6-6632-41e4-9355-f0f1e54fb79a","BiomedicalConceptProperty","float","VSORRES","BiomedicalConceptProperty_41","VSORRES"
"True","True","da19c932-9062-4146-9559-8ca6ff9d0059","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_42","VSORRESU"
"True","True","cb42930b-d48f-45d3-a874-fa083a11a183","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_43","VSTESTCD"
"True","True","6c1522f2-3df8-4c0e-9acc-e06772ba95ce","BiomedicalConceptProperty","float","VSORRES","BiomedicalConceptProperty_44","VSORRES"
"True","True","877d2bf2-00ba-463e-82f5-5683e057f1f8","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_45","VSORRESU"
"True","True","8c6ddfbc-c452-4797-a23c-e87e3b3e032c","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_46","LBTESTCD"
"True","True","4e5e2ce3-f6fe-42ef-aa53-4ec24567f10a","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_47","LBORRES"
"True","True","89596223-8de4-43c1-b3c0-bcf6f3153adb","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_48","LBORRESU"
"True","True","9c3ac8e7-f022-427d-a4df-cc58bdcf4fbf","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_49","LBSPEC"
"True","True","737dbd68-de9b-4d2d-9fdf-47f146f0735c","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_50","LBFAST"
"True","True","30cf5416-6915-4a4d-bbdc-49d44aaa464f","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_51","LBTESTCD"
"True","True","f22c578b-45d4-422e-a814-44803757529e","BiomedicalConceptProperty","text","LBORRES","BiomedicalConceptProperty_52","LBORRES"
"True","True","ddda2129-cb9c-4a5f-ac1d-8d3c51c044ad","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_53","LBSPEC"
"True","True","310e8041-ac21-44e4-9757-1cf6e03d9a64","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_54","LBFAST"
"True","True","f14b8158-262f-483c-936e-72839447ebe1","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_55","LBTESTCD"
"True","True","1f2487e3-76bb-4ab7-a3c8-0629071a6dcb","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_56","LBORRES"
"True","True","2943e2ee-a0a2-46b8-a994-88a3e892ec0d","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_57","LBORRESU"
"True","True","62a39122-a608-4c5a-b3da-60fcd267c995","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_58","LBSPEC"
"True","True","cb76ebe6-ae7e-47e3-9aa4-3653b5fe39c5","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_59","LBFAST"
"True","True","c35833d6-a215-45f7-90b4-f22c49610c85","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_60","LBTESTCD"
"True","True","0574450d-de96-4fa4-8107-d6f99e94985d","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_61","LBORRES"
"True","True","7b013134-fbf4-4d13-a485-14c0e940b3ff","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_62","LBORRESU"
"True","True","f68a16fa-43b8-415c-9e23-937a5169c237","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_63","LBSPEC"
"True","True","3dfe1cd4-1f4a-4e10-ac51-59e92b726f6c","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_64","LBFAST"
"True","True","6cab833b-6b1e-4060-96c2-840698ac40ca","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_65","LBTESTCD"
"True","True","8ed54de6-d606-4fa4-b510-9fc5ac95c093","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_66","LBORRES"
"True","True","576b2325-7dfc-4e9b-8bc3-3ab08a52fa9b","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_67","LBORRESU"
"True","True","492b18aa-5602-453c-875a-4f496da37dcc","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_68","LBSPEC"
"True","True","2a067fb7-da59-420a-ab3c-87981f559e05","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_69","LBFAST"
"True","True","b73aad4e-1f01-49a4-acee-849c364af1ae","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_70","LBTESTCD"
"True","True","eb13d62c-e1cb-42af-b020-e82272a15e39","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_71","LBORRES"
"True","True","7e4d64d6-e14a-4c27-8223-8c2335b35efa","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_72","LBORRESU"
"True","True","e3e1f020-d809-498b-b215-02e632b25a6c","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_73","LBSPEC"
"True","True","03379c75-832b-44fb-9237-10f4c5dbce73","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_74","LBFAST"
"True","True","456fc95d-ed8b-4e4b-badb-e3d36076afee","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_75","LBTESTCD"
"True","True","30f121eb-63e9-41fa-ba73-2685cbae575f","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_76","LBORRES"
"True","True","7bd26340-a699-4915-a385-d2a6bf8bced2","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_77","LBORRESU"
"True","True","6b16b5d5-a320-4f2a-b229-8492d843bda0","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_78","LBSPEC"
"True","True","83a366d9-f754-4d7e-80f1-9edda2cc08d2","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_79","LBFAST"
"True","True","52be8dc7-119e-4c4a-b15d-8b25814f1807","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_80","VSTESTCD"
"True","True","60e5bfd5-9177-4bf9-910d-bb18dcd759e5","BiomedicalConceptProperty","integer","VSORRES","BiomedicalConceptProperty_81","VSORRES"
"True","True","18f0864d-591f-4277-8191-de4e0b7b3ffa","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_82","VSORRESU"
"True","True","b2ba11d8-bbbd-44b5-9318-a81748784461","BiomedicalConceptProperty","","VSPOS","BiomedicalConceptProperty_83","VSPOS"
"True","True","fc253b8b-063f-44d2-a686-e52501a4e344","BiomedicalConceptProperty","","VSLOC","BiomedicalConceptProperty_84","VSLOC"
"True","True","c3941a3f-df91-4a23-8daa-0d2214726b10","BiomedicalConceptProperty","","VSLAT","BiomedicalConceptProperty_85","VSLAT"
"True","True","bd4383a0-9a0a-487f-8935-d25c34c61f79","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_86","VSTESTCD"
"True","True","aa07a7e3-9fce-47bd-aee3-de9c8ea44425","BiomedicalConceptProperty","integer","VSORRES","BiomedicalConceptProperty_87","VSORRES"
"True","True","faa0dc10-cdf7-48fe-b694-698f20e578d7","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_88","VSORRESU"
"True","True","18c232a3-0530-44c9-a04b-a41015b82a9f","BiomedicalConceptProperty","","VSPOS","BiomedicalConceptProperty_89","VSPOS"
"True","True","aa15213f-8c05-496b-a4f2-3b5e9dae945e","BiomedicalConceptProperty","","VSLOC","BiomedicalConceptProperty_90","VSLOC"
"True","True","cacab5ae-0c55-408a-9399-f11456129043","BiomedicalConceptProperty","","VSLAT","BiomedicalConceptProperty_91","VSLAT"
"True","True","e05e8154-b03c-421e-a748-832318eb7752","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_92","VSTESTCD"
"True","True","ab5d4edd-daeb-4238-bdda-20651c2f2caf","BiomedicalConceptProperty","integer","VSORRES","BiomedicalConceptProperty_93","VSORRES"
"True","True","c9dc0a6c-7260-4cdc-9af7-bc662b7d626d","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_94","VSORRESU"
"True","True","8a6ce07d-1857-440b-80dc-efddc6553f95","BiomedicalConceptProperty","","VSPOS","BiomedicalConceptProperty_95","VSPOS"
"True","True","6ffc07ea-cbc6-49d9-98dc-626a08c9e46c","BiomedicalConceptProperty","","VSLOC","BiomedicalConceptProperty_96","VSLOC"
"True","True","d92e0b4f-bd76-4fe2-a0e1-99f1360a9306","BiomedicalConceptProperty","","VSLAT","BiomedicalConceptProperty_97","VSLAT"
"True","True","859c1d1f-27b4-41ee-bd93-72e45a730e23","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_98","VSTESTCD"
"True","True","344a399a-b77b-41c2-8a04-9b3521b0faf5","BiomedicalConceptProperty","integer","VSORRES","BiomedicalConceptProperty_99","VSORRES"
"True","True","c8dcf7b7-4309-4727-8301-d6fcabeb2e6c","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_100","VSORRESU"
"True","True","a9a2b271-af01-4f8e-a365-087f6ac2c04d","BiomedicalConceptProperty","","VSPOS","BiomedicalConceptProperty_101","VSPOS"
"True","True","1dcef7b7-29aa-418b-9e86-9c05228af3db","BiomedicalConceptProperty","","VSLOC","BiomedicalConceptProperty_102","VSLOC"
"True","True","5c9bf7ce-06ee-4b48-afde-d4c02a39d81a","BiomedicalConceptProperty","","VSLAT","BiomedicalConceptProperty_103","VSLAT"
"True","True","c8539e6f-831d-4311-a873-fc0fb9e4b17f","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_104","VSTESTCD"
"True","True","7c3e9584-1c99-4b66-a0c2-ce2a482f5cbf","BiomedicalConceptProperty","integer","VSORRES","BiomedicalConceptProperty_105","VSORRES"
"True","True","99e0a6d6-41db-4671-ba31-b2d0082858e7","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_106","VSORRESU"
"True","True","270e32ab-266c-46c0-876e-90b137a8936a","BiomedicalConceptProperty","","VSPOS","BiomedicalConceptProperty_107","VSPOS"
"True","True","38d5840d-9986-4652-864c-b0b76cf694d3","BiomedicalConceptProperty","","VSLOC","BiomedicalConceptProperty_108","VSLOC"
"True","True","925134a0-ed5e-4385-99c0-76804bc456c2","BiomedicalConceptProperty","","VSLAT","BiomedicalConceptProperty_109","VSLAT"
"True","True","677a2d80-e8fd-4e86-bc93-0e9f35052c25","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_110","VSTESTCD"
"True","True","8ebb2450-09af-4436-a2de-191939388e02","BiomedicalConceptProperty","integer","VSORRES","BiomedicalConceptProperty_111","VSORRES"
"True","True","6b6c5f9c-65b9-4683-9bfb-40e64571e22a","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_112","VSORRESU"
"True","True","4c3320ad-5347-4626-9823-7fb981dc30e7","BiomedicalConceptProperty","","VSPOS","BiomedicalConceptProperty_113","VSPOS"
"True","True","ec3627c3-dd25-40c8-97aa-3d6577414fc4","BiomedicalConceptProperty","","VSLOC","BiomedicalConceptProperty_114","VSLOC"
"True","True","5d6ac9c1-f9a7-42b7-91cf-9b10672a4fd6","BiomedicalConceptProperty","","VSLAT","BiomedicalConceptProperty_115","VSLAT"
